id,code,description
cat21_1,01,NUMERACION DAM
cat21_2,02,NUMERO DE ORDEN DE ENTREGA
cat21_3,03,NUMERO SCOP
cat21_4,04,NUMERO DE MANIFIESTO DE CARGA
cat21_5,05,NUMERO DE CONSTANCIA DE DETRACCION
cat21_6,06,OTROS
