id,code,description
tab12_0,01,VENTA
tab12_1,02,COMPRA
tab12_2,03,CONSIGNACIÓN RECIBIDA
tab12_3,04,CONSIGNACIÓN ENTREGADA
tab12_4,05,DEVOLUCIÓN RECIBIDA
tab12_5,06,DEVOLUCIÓN ENTREGADA
tab12_6,07,PROMOCIÓN
tab12_7,08,PREMIO
tab12_8,09,DONACIÓN
tab12_9,10,SALIDA A PRODUCCIÓN
tab12_10,11,TRANSFERENCIA ENTRE ALMACENES
tab12_11,12,RETIRO
tab12_12,13,MERMAS
tab12_13,14,DESMEDROS
tab12_14,15,DESTRUCCIÓN
tab12_15,16,SALDO INICIAL
tab12_16,99,OTROS
